Team_Year,Unique_Identifier,Conference,Year,Overall_Rank,Wins,Loss,AdjO,AdjD,AdjT,Luck,Strength_of_Schedule_Opp_O,Strength_of_Schedule_Opp_D,Opp_2P,Opp_3P,Opp_FT,Defense_Blk,Defense_Stl,Opp_NST,Opp_A,Opp_3P_Attempts,Off_2P,Off_3P,Off_FT,Off_Blk,Off_Stl,Off_NST,Off_A,Off_3P_Attempts,Off_eFG,Off_TO,Off_Reb,Off_FT_Rate,Opp_eFG,Opp_TO,Def_Reb,Opp_FT_Rate,Avg_Height,Experience,Bench,Continuity
Stanford 2011,291,P10,2011,102,15,16,104.7,98.6,64,-0.044,105.2,100.8,46.4,36.4,70.2,9.7,7.3,14,51.4,32.9,46.8,35.6,65.8,7.3,9,11.4,49.9,33.2,49,20.4,31.6,37.7,49.1,21.3,27.4,36.3,77.9,1.15,31,43
Stephen F. Austin 2011,292,Slnd,2011,209,18,11,96.6,100.9,59,-0.039,98.7,107.9,50.7,29.3,66.7,3.3,10.1,13.5,50.7,31.7,49,31.4,71.5,7.6,10,13.1,62.4,24.1,48.6,23.1,35,34.8,48.6,23.6,27,35.2,75.2,1.97,33.5,54.8
Stetson 2011,293,ASun,2011,300,8,23,96.8,109.7,65.1,0.007,100.9,103.6,49.1,36.8,69.4,8.9,11.1,10.4,60.1,38.6,49.1,30.5,62.2,11.1,9.8,14,42.3,33.5,48,23.8,31.4,41.2,51.5,21.5,34.6,45.2,76.7,0.73,34.7,43.9
Stony Brook 2011,294,AE,2011,233,15,17,93.7,99.4,62.3,-0.037,100.2,106.8,44.7,30.8,70.7,8.1,8.5,12.9,53.6,38.3,40.3,33.9,65.2,8.2,9.7,9.6,44.1,36.1,44.1,19.4,30.6,31,45.3,21.3,29.4,34.7,76.3,1.35,42.3,51.6
Syracuse 2011,295,BE,2011,13,27,8,114.9,92.4,64.6,0.032,108.3,99.3,44.4,31.5,66.7,18.9,13.1,8.3,63.3,38.8,52.7,35.4,66.5,7.4,9.6,9.1,60.5,31.7,52.8,18.7,34.6,36,45.5,21.4,31.5,29.7,78.3,1.4,26.1,50
TCU 2011,296,MWC,2011,171,11,22,102.4,102.9,65.9,-0.075,105.3,101,52.7,32.9,69.6,6.3,9.2,10.3,57.6,34.1,47.8,35,67.4,8.7,8.5,10.3,57.7,32.5,49.3,18.8,25.9,28.7,51.6,19.5,26.1,39,76.5,1.66,36.6,36.3
Temple 2011,298,A10,2011,34,26,8,110.5,93.7,64.2,0.014,105.5,101.5,43.5,35.8,70.8,11.3,10.3,9.7,49.2,27.4,48.7,35.3,69.8,7.7,7.6,8.8,58.9,30,50,16.4,30.7,33.8,46.3,20,27,26.4,77.7,1.78,27.8,59
Tennessee 2011,299,SEC,2011,62,19,15,108,95.6,66.1,-0.013,108.6,99.6,46.8,33.2,70.5,10.6,10.8,10.1,52.7,36.8,48.7,30,68.4,10.3,9.9,9.9,52.9,30,47.6,19.8,36.3,39.7,47.9,20.9,29.4,37.5,77.5,1.92,32.9,47.8
Akron 2011,3,MAC,2011,118,23,13,103.7,99.6,65.9,0.043,102.5,104.2,46.1,32.1,66.7,8.8,9.4,11.3,51.4,30.5,46.9,36,70.6,6.8,8.7,8.8,57.6,38,49.7,17.4,25.9,31.2,46.7,20.6,31.1,38.7,76.6,2.03,31.5,59.6
Bradley 2011,30,MVC,2011,193,12,20,101.3,103.7,65.7,-0.033,103.5,102.9,49.1,33.9,72.1,7.6,9.3,10.1,64.7,37.9,45.8,34,72.5,7.5,8.3,10.2,49.9,27,47.2,18.5,24.5,33,49.7,19.4,29,38.3,76.9,1.7,28.7,46.8
Tennessee Martin 2011,300,OVC,2011,297,12,21,97.5,110.1,68,-0.002,100.7,105.5,53.9,32.9,68.6,6.3,8.8,12,57.7,28.3,46.2,33.4,74.3,11.4,10.5,11.4,47.1,30.6,47.4,22,27.3,40.1,52.7,20.8,34.7,38.4,76.2,1.37,31.5,33.5
Tennessee St. 2011,301,OVC,2011,241,14,16,102.1,108.8,64.1,0.022,100.7,104.5,50.5,34.3,67.8,9,9.8,10.7,55.4,33.6,46.9,37.6,75.4,9.4,8.3,14.7,54.9,37.3,50.5,23,30.3,39,50.8,20.4,33.9,35.8,76.2,0.94,23.8,43
Tennessee Tech 2011,302,OVC,2011,210,20,13,100.9,105.2,69.8,0.058,100.1,105.9,48.8,34.6,70.2,5.9,10.3,10.7,56.8,32.5,50.3,34.4,67.1,8.3,9.4,12.4,52,23.2,50.6,21.8,32.1,43,49.8,21,27.6,45.5,76.6,1.64,33.9,55.1
Texas 2011,303,B12,2011,5,28,8,115.5,89.6,65.5,-0.058,107.5,99.9,42,29.5,68.5,11.7,8.4,10.4,41.9,26.1,48.1,37.6,65.4,6.7,7.7,9.5,50.8,25.5,50.2,17.2,35.8,43.1,42.5,18.7,28.1,30.7,76.8,1.47,26.6,49.6
Texas A&M 2011,304,B12,2011,49,24,9,110,95.4,60.9,0.05,105.9,100.5,46.2,31.6,68.7,4.5,10.1,10.8,52.1,33.1,48.6,33.9,69.8,12.6,9.9,10.5,58.7,31.2,49.3,20.4,36.3,47.3,46.6,20.9,27.7,36.9,76.9,1.84,30.3,65.8
Texas A&M Corpus Chris 2011,305,Slnd,2011,316,10,21,92.9,109.1,64.5,0.043,101.5,104.3,51.9,33.9,72.2,8.9,9,10.2,56,31.4,48.8,28.7,64.6,8.7,13.3,13,52,31.3,47,26.2,31.2,40.5,51.6,19.3,31.8,35.9,77.2,2.17,31.1,53.6
Texas Pan American 2011,306,GWC,2011,333,6,25,94.1,115,64.8,-0.075,100,107.2,51.7,41.6,70.2,4.5,8.3,12.8,55.8,32.5,43.5,37.8,66.8,10.1,9.1,13.9,53.6,38.3,48.6,23,24.6,42.8,55.2,21.1,31.1,46.6,75,1.81,34.5,40.4
Texas Southern 2011,307,SWAC,2011,276,19,13,93.2,103.5,64.8,0.137,96,105.9,46.8,32.7,62.4,10,11.8,11.9,61.1,36.3,50.2,30.1,63.2,8.9,12.2,11.9,56.9,37.9,48.3,24.1,29.3,47.7,47.6,23.7,32.5,39.6,77.8,2.07,28.5,23.5
Texas St. 2011,308,Slnd,2011,251,16,16,100.3,108.3,72.9,0.036,100.3,107.6,52,33.7,69,7.8,9.7,12.3,54.7,31.7,49.5,32.6,67.7,6.1,8.7,10.8,51,30.8,49.3,19.4,30.5,44.9,51.6,22,30.8,44,76.1,2.49,37.6,58.6
Texas Tech 2011,309,B12,2011,121,13,19,107.2,103.4,69.3,-0.041,106.5,100.6,49.6,35.1,69.6,10.1,8.3,11.2,45.6,27.4,47.4,36.5,72.9,7.1,9.7,9.7,51.7,26.5,49.3,19.4,30.3,38.1,50.5,19.5,33.5,39.1,76.6,2.41,29.7,68.1
Brown 2011,31,Ivy,2011,238,11,17,102.9,109.4,68,-0.028,101.6,104.7,50.3,34.7,70.1,6.7,7.3,8.3,51,32.4,49.4,34.9,75.7,10.6,9.3,8.3,58,39.1,50.6,17.5,19.2,35.8,50.9,15.6,26.9,30.2,76.9,1.58,31.6,64.3
The Citadel 2011,310,SC,2011,282,10,22,100.9,111.6,61.9,-0.055,103.1,105.2,53.7,34.5,69.1,4.4,7.1,9.1,54.3,36.3,46.4,33,73.2,8.7,9.4,10.5,53.3,27.4,47.2,19.8,31.8,29.4,53,16.2,28.1,31.9,75.8,2.59,22.2,73.6
Toledo 2011,311,MAC,2011,332,4,28,91.9,112.6,62.8,-0.037,101.6,102.8,52.8,35.7,70.4,4.3,8.5,10.7,64.4,41.6,44.9,31.6,63.3,12.6,12.8,12,60.7,33.8,45.7,24.8,25.5,42.2,53.1,19.2,34.3,33.6,77.1,0.91,38.5,22.4
Towson 2011,312,CAA,2011,278,4,26,105.8,116.3,65.1,-0.069,103.1,102.7,52.5,40.2,70.5,7.5,8.7,9,55.5,31.9,47.4,35.6,72.3,8.4,9.7,8.8,47.8,30.8,49.3,18.5,27.9,37.6,55,17.8,33.6,34.3,76.2,1.77,25,41.4
Troy 2011,313,SB,2011,275,8,21,97.8,108,70.2,-0.038,102.7,104.7,49.9,37,69.9,9.6,9,10.7,55,39.5,44.8,33.8,66.4,11.5,10.7,9,53.9,41.3,47.3,19.7,27.9,29.2,52.1,19.6,31.4,36.5,75.7,2.42,30.9,21.2
Tulane 2011,315,CUSA,2011,191,13,17,102.4,104.7,64.7,-0.125,102.6,103.5,51.5,35.4,71.4,8,10.5,12.8,59.7,32.8,46.6,35.6,69.8,11.4,9.7,9.6,56.2,37.9,49.2,19.3,27.8,35.9,52,23.3,29.1,38.2,76.4,2.02,23.6,63.3
Tulsa 2011,316,CUSA,2011,91,19,13,107.1,100.2,65.7,0,104.9,102.4,46.3,33.4,72.4,9.9,6.6,11.2,49.3,31,48.8,34.9,70.1,9.3,9.4,11,48.5,35.7,50.1,20.4,32,44.4,47.4,17.7,24.6,40.9,78,1.52,31.1,47.8
UAB 2011,317,CUSA,2011,65,22,9,108.8,97.2,61.8,0.025,104.3,102.1,45.7,31,70.3,8.2,8.2,10.8,48.5,29.7,50.3,34.2,71.7,9.9,9.3,10.4,55.6,40.5,50.8,19.7,31.3,29.7,45.9,19,28.4,32.4,75.5,1.61,25.1,48.5
UC Davis 2011,318,BW,2011,246,10,20,102.8,109.9,66.4,-0.094,102.3,104.2,51.8,34.6,65.1,5.9,9.4,10,51.3,29.5,50.8,37.5,73.8,6.5,10.2,9.9,59.4,38.9,52.9,20.1,20.9,34.5,51.8,19.4,33.1,40.7,78,1.8,34.9,53.2
UC Irvine 2011,319,BW,2011,218,13,19,102.6,107.2,69.8,-0.048,101.4,104.6,49.9,32.9,71.8,4.6,8.9,10.5,53.1,37.4,45.8,34.8,73.7,7.5,6.4,11.2,49.1,35.8,48.1,17.5,24.1,42.1,49.7,19.4,30.1,40.4,75.1,1.99,33.1,60.7
Bryant 2011,32,NEC,2011,305,9,21,100.5,114.3,64.7,0.033,102.6,104.4,50.5,39.1,71.7,7.4,7.9,10.4,62.2,37.5,45.4,36.4,65.2,9.5,10,10.2,56.3,39.5,49,20.2,26.6,31.7,53.5,18.3,33.6,35.4,76,1.19,26,34.4
UC Riverside 2011,320,BW,2011,265,12,19,97.8,107.2,64.8,0.062,103.5,104.5,47.7,38.4,71.1,11.6,8,11.8,57.1,41.8,44.2,35.2,68.1,6.4,7.9,12.6,49.9,27.1,46.5,20.5,30.5,32.9,51.8,19.8,30.5,39.7,75.8,2.02,28.2,0
UC Santa Barbara 2011,321,BW,2011,132,18,14,103.7,100.5,64.1,0.002,104.1,103.9,43.1,36.6,70,12,10.9,9,59,35.6,49.6,36.6,76.2,6.8,9.3,12.6,60.2,36.8,51.6,21.8,27.3,37.3,47.3,19.9,30.7,42.3,77,2.16,32.8,69.9
UCF 2011,322,CUSA,2011,105,21,12,105.7,99.9,64.2,0.012,103.9,103.2,43.6,35.4,65.9,14.7,9.1,10.4,54.3,29.5,50.6,33.2,69.3,9.8,10.5,10.3,52.3,34.2,50.3,20.8,31.6,45.8,46.4,19.5,31,32.7,77.1,1.65,35,70
UCLA 2011,323,P10,2011,52,23,11,108.7,95.1,65.5,0.033,107.3,100.4,44.2,34.8,67.3,13.4,8,9.9,48.8,25.8,50.8,32.6,67.9,7.6,10.2,11.8,59.4,29.1,50.3,22,34.7,44.3,46.3,18,29.3,33,77.7,1.2,27.2,51.7
UMBC 2011,325,AE,2011,339,5,25,96,118.3,66.9,0.026,100.9,105.2,53.2,38.5,71.5,4.9,8.7,9.7,56.7,41.5,43.3,33.1,70.7,10,9.4,10.2,49.4,31.7,45.3,19.6,27.1,27.9,55.1,18.4,34,43.4,76.1,1.89,37.7,35.8
UMKC 2011,326,Sum,2011,271,16,14,101.9,111.6,63.8,0.114,102.7,107.7,52.1,36.6,71.4,6.7,9,10.2,54.2,31.2,49.8,34.9,66.1,9,8.4,12.4,45.3,41.3,50.9,20.8,30.2,40.9,52.9,19.2,32.7,39.1,76.2,2.12,29,49.7
UNC Asheville 2011,327,BSth,2011,150,20,14,101.9,100,67.4,-0.011,101.1,105.1,46.2,34.1,68.6,11.6,12.4,11.8,54.1,33.4,49,32.2,70.6,8.8,10.7,10.5,55.7,26.4,48.9,21.2,30.1,41.8,47.9,24.3,35.1,39.9,75.7,1.78,32.1,79.1
UNC Greensboro 2011,328,SC,2011,284,7,24,99.6,110.4,69.5,-0.031,103.7,104.1,52.5,38.2,71,6.6,9.1,10.8,54.6,36,45.8,35.6,69,8.6,11.8,9.3,45.3,28.7,48,21.1,30.2,36.5,54.2,19.9,34.2,43.5,76.3,1.18,36.4,41.1
UNC Wilmington 2011,329,CAA,2011,204,13,18,102,105.9,61.8,0.002,103.4,104.5,48.1,34.9,65.5,9.3,8.6,10.7,54.8,35.5,47.1,36.9,68.9,11,12,9.6,48.9,36.4,50.1,21.6,32.2,28.7,49.6,19.3,35.1,31.2,75.8,1.63,27.7,47.5
Bucknell 2011,33,Pat,2011,96,25,9,105.8,99.2,64.5,0.068,102.7,106.1,44.1,31.7,69.7,8.9,7.1,10.9,56.5,36.6,46.7,40,78.8,7,8.2,8.7,59.4,31.5,50.9,17,23.4,34.1,45.4,17.9,26.4,35,76.3,1.54,27.9,73.8
UNLV 2011,330,MWC,2011,29,24,9,110.6,92.9,66.4,0.003,106.2,100.2,44.3,32.9,69.7,10.4,12,12.1,50.9,33.1,51.5,33,68.9,6.6,7.4,11.2,60.2,30.4,50.9,18.6,32.2,39.1,46,24.1,29.7,39.7,77.4,1.81,30.7,70.4
USC 2011,331,P10,2011,57,19,15,107.9,94.6,61.7,-0.05,107.8,100.2,44.4,33.5,70.1,8.4,9.1,9.4,46.2,31.5,48.5,35.4,65.1,7.9,7.7,10.5,49.4,31.5,49.9,18.2,28.4,35.4,46.2,18.5,26.6,36.1,75.6,1.87,21.8,45.7
USC Upstate 2011,332,ASun,2011,319,5,25,92.6,109.1,63,0.016,102.8,102.7,52.1,34.6,66.9,10.2,8.9,11.4,55.3,32.8,43.5,29.2,60,10.5,11.1,11.7,54.6,43.7,43.6,22.8,32.6,28,52.1,20.3,33.1,39,75.9,1.2,35.5,42.2
UT Arlington 2011,333,Slnd,2011,256,13,16,96.7,104.8,67.1,-0.072,100.3,106.1,47.3,33.9,67.2,7,8.8,13.7,57.6,39.8,49.4,34.4,69,9.8,12.6,12.7,49.3,37.8,50.2,25.3,31.4,33.2,48.7,22.5,33.5,46.8,76.3,0.99,42.1,29
Utah 2011,335,MWC,2011,141,13,18,103.6,101,67.2,0.033,107.2,99.7,45.7,34.6,68.8,11.8,6.7,9,52.6,27.7,46.9,32.8,69.5,11.1,10.1,10,40.1,32,47.7,20.1,26.9,36.7,47.4,15.7,30.4,38.7,78.1,1.55,35.3,33
Utah St. 2011,336,WAC,2011,22,30,4,111.2,91.8,62.4,0.033,103.8,104.1,42.5,30.1,67.8,9,7.3,11.4,52.1,33.2,51.7,35.7,73.6,8,8.3,10,58.5,31.4,52.2,18.3,32.1,43.4,43.4,18.7,24,34.6,76.3,2.56,30.2,67.2
Utah Valley 2011,337,GWC,2011,255,19,11,100.8,108.8,65.3,0.011,96.9,109.1,47.4,35.1,62.7,7.4,6.7,10.7,45.6,34.2,47.4,35.1,75.9,10,9.2,10.7,53.1,33.8,49.1,19.9,30.6,46.4,49.2,17.4,27.1,36.7,76,1.74,25.5,34.9
UTEP 2011,339,CUSA,2011,72,25,10,105,94.6,66.4,-0.009,103.7,103.4,45.7,30.8,67.9,10.2,9.7,11.6,58.5,36.5,50.8,36.5,67.1,7.6,9,9.3,60.8,28.8,51.9,18.3,22.3,40.9,45.9,21.3,29.2,33.2,77.1,2.51,21.4,65.5
Buffalo 2011,34,MAC,2011,115,20,14,104,99.1,65.7,-0.078,102.2,104.3,44.1,36.7,67.1,14.2,11.5,11,58.3,30.2,50.9,37.5,64.7,6.2,10.8,12,54.4,29.4,52.5,22.9,35.7,35.9,47.4,22.5,31,37.8,76.5,1.89,28.6,28.2
UTSA 2011,340,Slnd,2011,227,20,14,101.8,107.1,66.7,0.085,100.3,106.1,48,33.9,70.5,6.4,9.8,10.1,55.5,39.3,46.5,35.7,71.9,9.6,8.5,11.2,53.3,35.6,49,19.7,27.7,41.1,49.1,19.9,32.1,36.5,76.6,1.49,25.5,25.5
Valparaiso 2011,341,Horz,2011,95,23,12,106.4,99.8,66.2,0.057,105,103.2,47.8,33.4,70.3,6.7,11.1,10,50.4,32.3,53.8,32,66.3,9.3,9.3,11.1,57.3,34.3,51.8,20.4,30.2,33.5,48.6,21.2,31.4,41.6,75.6,1.75,32.6,66.5
Vanderbilt 2011,342,SEC,2011,33,23,11,116.6,99.2,66.1,-0.05,106.5,99.8,45.6,31.3,69.7,11.5,7.5,10,46.2,31.5,51.1,37.1,74.3,10.1,10,9,53.5,38.2,52.9,19,32.3,45.2,46,17.5,29.5,28,78.3,1.53,27.5,60
VCU 2011,343,CAA,2011,53,28,12,112,98.5,65.6,0.021,105.8,101,48.7,33.6,67.8,9.1,12.3,9.7,53.3,30,48,37,71.5,11.5,8.8,8.3,60.2,41.2,51.1,17.1,29.7,37,49.2,22,34.7,34.1,76.3,2.17,27,66.1
Vermont 2011,344,AE,2011,128,23,9,102.4,99.1,64.5,0.062,99.5,105.5,42.5,32.4,71.3,8.5,7.6,10.7,46.3,32.1,47.9,35.1,67.6,8.4,9.5,11.5,50.7,24.7,49.1,21,35.9,37.2,44.4,18.3,27.1,28,76.5,1.49,30,39.2
Villanova 2011,345,BE,2011,28,21,12,114.9,97,65,-0.04,108.3,99.3,45.4,32,70.8,10.7,9.5,8.8,59.8,36,48.2,34.8,75.7,9.7,8.9,9,56.5,33.2,49.5,17.9,33.3,42.3,46.3,18.3,26.9,36.5,77.3,1.92,25.4,66.1
Virginia 2011,346,ACC,2011,103,16,15,104,98,59.1,0.02,106,100,47.8,36.3,68.2,8.9,9.3,10.5,47,35.5,43,38.8,69,12,8,9.7,53,36.2,48.5,17.7,24.6,32,50.2,19.7,26.7,28.8,77,1.39,34.3,46.5
Virginia Tech 2011,347,ACC,2011,40,22,12,109.7,93.7,63.7,-0.029,106.5,100.1,46.9,32.2,65.9,10.5,9.9,12,53.7,35.4,50.7,33,71,8.8,6.9,11.6,51,31,50.3,18.5,30.6,40.7,47.4,21.9,28.8,31.2,77.5,2.2,18,68.7
VMI 2011,348,BSth,2011,199,18,13,110.6,113.9,74.7,-0.016,99.3,105.1,50.9,34.3,68.4,9,9.6,9.6,54.4,26.8,51,36.7,70.4,9.1,8.3,8.8,48.2,46.5,52.8,17.1,27.9,34.3,51,19.2,35.9,36.1,75.6,1.43,35.7,65.3
Wagner 2011,349,NEC,2011,230,13,17,100.4,105.9,66.3,0.028,101.8,103.8,45.5,35.4,71.4,10.8,8.6,13.8,54.8,27,46.8,37.1,77.2,7.6,10.3,12.1,62.3,34.3,49.8,22.4,22.9,41.2,47.5,22.4,33.4,62.3,75.7,1.11,28.2,53
Butler 2011,35,Horz,2011,36,28,10,112.3,95.9,63.5,0.033,106.4,100.3,48,32.2,67.4,4.5,9,9.9,48.5,35.5,47.9,35.2,72.4,8.8,8.2,8.7,49.1,38.7,49.8,17,31.6,37.9,48.1,18.9,25.8,39,76.3,2.02,27.6,59.5
Wake Forest 2011,350,ACC,2011,259,8,24,100.4,109,68.9,0.009,105.5,100.6,49.3,37,69,12.7,7.5,9.9,56.1,30.4,45,35.9,74.6,7.8,11.5,10.4,49.3,29.6,47.6,22,24.4,38.4,51.2,17.4,33.6,32.4,78,1,28.5,25.9
Washington 2011,351,P10,2011,16,24,11,117.7,96,69.9,-0.099,106.9,99.7,45.3,32.8,68,12.3,9.2,11.4,45.6,27.7,52.5,37.1,67.4,6.7,8.1,8.6,55.9,36.3,53.7,16.7,36.8,31.5,46.4,20.6,29.6,44,76.7,1.93,37.1,63.9
Washington St. 2011,352,P10,2011,60,22,13,108.1,95.3,67.4,0.002,107.3,100.4,45.6,31.2,71.9,11,9.8,11.1,57.4,39.6,51,35.2,70.9,7.8,9.1,9.1,51.7,34.4,51.6,18.2,25.8,36,46.1,20.9,31.3,32.6,77.4,1.64,28.2,64.2
Weber St. 2011,353,BSky,2011,169,18,14,104.1,104.4,64.4,0.01,103,104.3,45.3,37.1,72.5,7.9,7.9,9.2,51.1,35.5,45.6,40.4,75.1,10.2,9.1,10.3,52,36.7,51.1,19.4,25.3,35.6,48.9,17.1,26.2,39,77.2,1.64,31,45.4
West Virginia 2011,354,BE,2011,19,21,12,114.9,94.8,62.5,-0.018,111,98.3,47,29.1,69.6,11,7.2,11.4,48.8,32.4,47.5,33.7,71.1,8.4,10,8.9,62.7,33.5,48.5,18.9,38.4,40.9,45.9,18.7,33.1,36,77.4,2.4,27.7,54.1
Western Carolina 2011,355,SC,2011,184,18,15,98.7,100.5,68.1,0.044,103.3,106.1,51.3,31.4,67.9,8.2,12.6,9.9,50.1,29.9,46.3,33.6,65.9,7.1,9.6,10.5,50.6,28.8,47.5,20.1,32.7,30.6,50.1,22.5,29.4,48.5,75.7,1.45,28.4,40.1
Western Illinois 2011,356,Sum,2011,330,7,23,87.6,107.6,61.2,0.003,103.2,106.7,48.2,35.5,70.1,6.9,7.5,10.4,57.8,33.8,43.5,34.9,65.2,8.8,10.6,11.5,51.3,32.6,46.4,22.1,20.4,38.1,49.9,17.9,28.4,44.1,77.3,1.8,29.3,39.3
Western Kentucky 2011,357,SB,2011,216,16,16,100.5,105.1,66.8,0.019,101.2,105.5,47.1,36.3,65.3,9.5,8.3,12.2,50.4,31.3,49.1,31.2,64.2,8,9.1,12.4,48.5,30.9,48.4,21.5,35.2,37.4,49.4,20.5,33.9,31.1,76.5,2.18,25.8,47.5
Western Michigan 2011,358,MAC,2011,166,21,13,104,104.1,66.8,0.043,100.6,104.5,46.9,35.3,64.5,8.7,8.3,10.5,50.7,29.4,47.6,34.4,70.1,7.4,9,11.5,50.5,28.4,48.7,20.5,34.8,36.4,48.7,18.8,29.5,36.7,76.8,1.48,28.6,48.5
Wichita St. 2011,359,MVC,2011,27,29,8,113.9,95.9,64.9,-0.041,102.9,102,43.9,33.3,70.2,10.5,8.8,10,46.3,29.1,53,35.3,74.6,8,8.3,11,59.8,35.8,53,19.4,34.6,35.3,45.7,18.8,22.9,36.2,77.5,2.36,41.3,77.7
BYU 2011,36,MWC,2011,12,32,5,117.5,94.3,70.2,0.055,106.8,99.8,45.2,33.3,68.8,10,11.3,8.9,51.9,30.5,50.2,35.9,76.2,8.8,8,7,52.1,37.8,51.6,15.1,29.2,38.1,46.7,20.2,26.4,33.6,77.5,1.98,26.1,55.6
William & Mary 2011,360,CAA,2011,226,10,22,103,108.3,62.9,-0.056,104.2,102.5,48.5,35.3,71.5,8.3,6.4,9.1,55.1,37,50.8,35.9,70.3,11.8,11.8,9,60.6,43.4,52.1,20.8,21.6,35.8,50.1,15.5,29.7,29.8,77.2,1.28,37,50.3
Winthrop 2011,362,BSth,2011,221,13,17,96.3,101.1,64.9,-0.04,101.7,104.7,46.3,34.4,69.1,9.4,10.7,10.3,54.1,35.2,44.6,30.2,64,9.6,8.7,10.2,47.9,23.8,44.8,18.9,30.4,36.6,48.1,21,29.1,39.4,76.6,1.88,31.5,69.5
Wisconsin 2011,363,B10,2011,6,25,9,122.3,96.5,56.9,-0.003,110,99.2,45.2,37,74.4,9,6.2,10.8,46.1,29.4,48.9,37.4,81.8,5.7,6.8,6.6,55.3,41.2,51.8,13.4,33,29.5,48.2,16.9,25.3,32.9,77.8,1.96,22,60.9
Wofford 2011,364,SC,2011,84,21,13,112.3,104.2,63.2,-0.024,104,104.6,48.8,34.8,71.8,6.9,10.1,10.1,45.9,30.2,50.4,40,69.3,8.1,8.9,9.3,55.2,26.6,53,18.2,32.5,42,49.8,20.1,31.8,41.5,75.7,2.71,21,73.6
Wright St. 2011,365,Horz,2011,111,19,14,105,99.8,61.6,-0.014,104.6,102.9,53.7,32.3,70.9,3.5,9.9,14.3,51.6,35.3,47,35.9,74.3,9.9,7.1,10.2,47.5,37,49.6,17.3,22.4,38.5,51.8,24.2,29.8,43.5,76.9,1.91,34.4,47.5
Wyoming 2011,366,MWC,2011,229,10,21,98.5,103.9,66,-0.056,105.3,101.6,50.5,38.1,70.8,10.8,10.8,10.9,51.5,36.2,49.3,28,66.9,8.9,9,12.1,44.3,32.2,46.9,21,26.8,41.2,52.9,21.7,32.1,33.5,77.3,1.67,29.4,64
Xavier 2011,367,A10,2011,38,24,8,112.8,96.8,64.3,0.035,105.4,100.9,44.2,33.9,73,8.7,8.2,10.9,59.1,35.2,52,32.9,74.7,8.9,8.6,9.7,54.1,30.9,51.2,18.4,31.3,44.5,46.5,19.2,26.4,35,77.3,2.12,14,63.9
Yale 2011,368,Ivy,2011,182,15,13,99.5,101.1,65.7,0.033,103.2,105.1,45,34.8,70.4,10.9,6.8,10.7,46.6,27.4,48.5,34.2,73.4,10.1,8.8,11.7,53.6,32.6,49.4,20.5,25.3,39.6,47,17.5,26.9,36.2,76.3,1.57,26,43.1
Youngstown St. 2011,369,Horz,2011,252,9,21,100,108,68.5,-0.023,104.3,102.3,49.7,36.4,68.9,11.8,8.8,9.7,54.3,28.1,46.5,33.4,61.3,6.6,8.4,8.9,59.5,39.3,47.9,17.3,25.4,29.6,51.1,18.5,32,44,76,1.65,32.1,29.9
Cal Poly 2011,38,BW,2011,167,15,15,97.9,98,59.6,-0.001,102.8,104.9,45.6,29.3,70.9,6,9.7,12.2,54.4,34.2,44.1,31.7,67,13.5,9.4,9.5,55.5,39.4,45.5,18.9,30.7,37,45.1,21.8,29.8,42.4,76.6,1.57,21.2,41.5
Cal St. Bakersfield 2011,39,ind,2011,307,9,19,97.1,111.4,67.3,0.038,102.5,106.3,53.4,34.6,73.4,7.7,10.3,9.3,53.6,27.9,42.7,33.2,68.9,6.7,8.9,10.4,50.1,32.9,45,19.4,30.6,36,53,19.6,34.3,39.6,75.9,1.68,28.3,43.7
Alabama 2011,4,SEC,2011,51,25,12,104.6,90.9,63.9,-0.003,104.8,101.5,41.8,31.8,67.6,14.2,14.4,9.2,50.1,32,50,29.8,70.7,9.1,9,12,48.8,24.7,48.7,21.1,35.5,31.6,43.7,23.6,31.3,36.3,76.5,1.74,24.6,57.4
Cal St. Fullerton 2011,40,BW,2011,258,11,20,104.8,113.3,67.5,0.018,101.3,104.3,50.3,37.1,72.5,4.3,7.5,11.4,58.3,40.2,48.2,36.7,71.7,9.7,8.1,12.6,51.3,32,50.4,20.7,29.7,42.1,52.4,19,31,44.1,75.2,2.03,31.4,35.4
Cal St. Northridge 2011,41,BW,2011,223,14,18,100.6,105.7,67.7,0.002,102.8,104.4,49.5,33.9,69.5,10.3,8.9,11.8,59.6,37.4,47.5,32.9,66.7,7.9,10.1,12.5,52.8,32.3,48.1,22.6,31.4,49,50,20.7,30.4,56.2,76.1,1.98,42.5,41.8
California 2011,42,P10,2011,75,18,15,109.9,99.8,67.5,0.036,108.5,99.5,47.9,36.4,69,7,8.1,10,51.3,37.7,50.2,35.1,69.5,7.2,8.1,11.4,60.1,27,50.8,19.4,28.5,47.1,50.4,18.2,27,33.8,76.5,1.29,23.8,18
Campbell 2011,43,ASun,2011,248,12,19,97.8,105.5,64,-0.06,100.6,105.3,45.8,37.6,69.5,15.2,10.6,11.6,62.5,35,47.6,34.9,64.5,10.9,9.6,12.1,56.2,20.7,48.5,21.7,32.2,41.3,49.5,22.2,32.1,51.3,76.7,1.87,32,46.4
Canisius 2011,44,MAAC,2011,183,15,15,103,104.6,64.7,-0.031,100.5,104.2,44.6,34,69.2,12.6,10.2,10.3,57.1,31.5,47,34.9,69.9,8.7,9.5,11,60.8,38,49.1,20.6,33.2,27.4,46.6,20.5,33,39.4,75.8,2.17,30.7,66.7
